time,suicide,depression,seek help,suicide lifeline,crisis hotline,Parkinson's,Robin Williams
20140718,1590,1283,50,2,2,7,42
20140719,1492,1279,42,2,1,6,27
20140720,1458,1254,43,2,1,13,30
20140721,1564,1566,45,1,1,10,116
20140722,2089,1708,60,1,3,11,98
20140723,1856,1697,69,4,1,20,43
20140724,1726,1410,55,3,2,18,42
20140725,1506,1381,50,1,1,17,40
20140726,1617,1235,29,2,2,7,41
20140727,2032,1274,29,1,2,11,37
20140728,2177,1466,32,1,1,6,39
20140729,2189,1556,46,2,2,13,32
20140730,2678,1502,56,2,1,11,46
20140731,2447,1587,65,5,1,13,58
20140801,2036,1669,48,2,2,9,57
20140802,1575,1475,37,4,1,18,28
20140803,1661,1610,41,1,1,11,35
20140804,1708,1882,106,3,2,13,33
20140805,1831,1735,58,2,1,7,33
20140806,1585,1721,45,4,1,13,41
20140807,1721,1485,35,2,1,9,43
20140808,1510,1544,52,1,21,8,40
20140809,1384,1516,32,1,14,11,27
20140810,1580,1370,74,3,3,10,36
20140811,14675,7222,205,2,1,10,102209
20140812,21674,20119,483,3,14,222,160665
20140813,6867,7350,117,2,13,1929,28027
20140814,4086,3929,87,3,7,1013,15918
20140815,3033,3127,62,5,4,292,9083
20140816,2431,2530,53,2,1,149,5852
20140817,2063,2443,44,5,2,134,4304
20140818,2351,2406,56,2,2,62,3997
20140819,2147,2280,44,1,1,53,3574
20140820,1914,2317,71,1,1,47,2694
20140821,2074,2151,55,3,6,24,2624
20140822,1939,1906,51,1,1,22,1950
20140823,2274,2055,34,3,9,22,1362
20140824,1676,2011,47,3,1,24,1082
20140825,2243,1881,42,1,2,34,4402
20140826,2219,2044,73,1,3,14,4289
20140827,1875,2003,59,1,1,15,1351
20140828,1695,2120,48,1,1,23,968
20140829,1440,1682,62,2,2,9,681
20140830,1719,1943,41,2,8,10,577
20140831,1478,1716,37,2,1,11,510
20140901,1940,2051,98,1,1,14,480
20140902,1928,1938,67,2,2,20,617
20140903,1886,1729,54,4,2,9,678
20140904,2271,1723,56,1,1,30,1509
20140905,2034,1599,41,3,3,4,945
20140906,2483,1764,57,1,1,6,545
20140907,2040,1656,45,4,2,44,482
20140908,2932,1724,79,1,3,7,650
20140909,2582,1532,83,1,6,18,575
20140910,5380,1813,73,2,2,22,658
20140911,3050,1903,88,1,1,27,640
20140912,2214,1582,58,3,2,10,468
20140913,1412,1491,37,8,2,12,384
