User id,Number of tweets before,Number of tweets after
377150239,2,2
159860208,1,1
1580059034,1,2
117518298,1,3
612781340,1,4
1552366345,1,2
14942593,1,2
267450101,2,1
2301914156,1,1
207020486,2,1
64842699,1,3
492036582,3,21
184215257,2,1
503625917,1,1
1662406604,1,1
103271014,1,1
436527987,1,1
808345556,1,1
1884248898,1,1
1011449900,1,1
870651770,1,1
44276774,1,1
404606423,1,4
2244913063,5,1
1337909262,2,2
8839502,5,2
637161055,1,2
135729356,8,11
146605963,1,1
425957768,1,1
519810446,1,1
24423999,2,2
302010154,1,1
2640459595,1,1
24564640,3,2
114779291,1,1
634833505,1,1
1879519885,6,3
1437456619,4,37
326282403,2,2
42052917,2,2
440496026,1,1
2315648648,3,3
236492973,1,3
276954448,1,1
368266647,1,2
218119418,5,31
2224206043,1,1
618226341,1,2
28528943,1,2
711953100,1,1
483387485,1,2
357920064,1,1
344108179,1,3
2166718058,1,1
61826727,1,1
1436784654,7,8
485084898,2,2
2358789898,1,2
450355216,1,2
264607346,1,1
576009912,21,3
450890876,1,1
704016981,1,2
223697708,1,1
103506411,3,4
516077741,1,1
253291809,1,3
2501062407,1,2
1396248218,15,29
2471559749,1,1
1406227596,4,1
447668738,2,2
1442175655,1,2
14510498,2,2
324411564,1,3
2292142707,2,1
114038618,1,2
2331567656,1,1
1968029935,1,1
1708285831,1,1
516918308,1,1
872255996,6,3
1869155827,1,1
911495838,1,5
116821671,1,1
7812462,2,3
2316490681,1,5
21595985,1,1
619288439,3,2
966772980,4,3
2376510427,1,4
1487010446,1,1
2346563100,2,5
34058253,2,1
1098782046,2,1
1625012010,2,1
141517277,1,1
73653693,1,2
1567991700,5,6
2381465436,1,2
1240963410,1,3
1155767126,1,1
2382642386,3,1
28144127,1,1
192199947,1,2
2475782444,1,2
964784250,2,1
279118291,113,222
318947749,2,1
45705649,1,1
231680007,1,1
859270885,10,11
793753308,1,21
608343796,1,1
139529218,1,2
519885405,1,1
40094559,2,5
25206663,5,5
28486708,3,2
1486206134,12,29
49005422,2,5
332333852,1,2
449443592,1,1
47629257,4,4
21563704,1,1
2356723778,1,1
2418068245,1,3
1365595532,1,2
49808073,1,1
1727668224,1,7
2334755902,1,1
167577647,1,1
856671517,1,1
202979761,1,1
1930393886,1,1
1257959664,1,1
1651244994,1,1
2222670438,1,1
770671332,1,1
2379937105,3,4
743470020,1,1
6529402,26,42
331849171,1,1
20791292,1,4
22964663,4,4
123521611,1,2
972639949,1,1
67804201,1,1
144124309,1,1
246945647,1,1
106021590,1,1
288057430,2,1
2541944281,5,13
335212222,1,2
280261024,1,1
37556874,1,3
2231732537,1,1
248877920,2,1
383718794,2,1
1270036147,1,1
255899261,4,1
116514541,1,2
208335774,1,1
381588561,2,1
631028702,1,1
17056433,5,8
1512311707,2,1
658643,1,1
1231712240,1,1
34827288,1,1
584562975,5,3
58883823,1,1
74869237,1,1
77534501,1,3
14281905,1,1
158169343,1,5
20432331,1,1
1568204335,1,1
2445439688,6,1
144896357,2,6
67974428,1,2
556726897,1,1
1446261265,1,1
2229105420,2,2
1565404249,5,4
1569661496,3,1
19261021,1,1
226329545,1,1
94058726,1,1
2681860014,2,20
21246105,1,9
1108420902,1,1
30016294,1,1
33131934,4,1
1578951992,2,8
31640792,1,1
787708975,1,1
19000227,2,4
24959108,1,2
2352716209,4,4
2525251774,2,2
68548295,1,1
995902496,1,2
19311556,1,2
1338015896,1,1
1596460465,1,3
1936282646,1,1
1245149593,1,1
140802143,3,1
187475047,2,1
121398847,1,1
1172394872,2,4
27788125,2,1
71450204,1,1
168592224,3,1
553800155,2,1
44171352,1,1
138913501,1,1
1515438972,23,27
34527883,1,1
1525515540,2,1
2388641472,9,39
1426176288,1,1
105892267,2,4
1327441550,2,10
1677008467,1,1
24736682,1,1
457812556,4,5
367250742,1,1
78727019,1,1
1853213588,4,1
113456075,1,1
2277721066,3,2
1413755263,1,3
151027855,1,2
1443082196,1,1
2370635118,5,3
817654957,2,1
1573880288,1,1
227818854,1,1
22903265,2,2
935539418,1,1
983381136,1,1
111080115,1,1
763168273,2,1
464883833,1,1
1702290830,2,2
1604628794,1,1
1296464430,1,1
17898450,2,11
39319366,1,1
751265244,1,1
2518818847,1,1
198201989,1,1
1694057263,1,1
311420530,1,1
227217270,2,3
1352835726,1,1
81112164,1,2
614038501,1,3
108057555,1,1
2196568974,1,1
1595076468,3,2
23556562,1,1
204428239,7,6
1649319462,2,1
21405190,3,1
20944402,1,4
618669456,1,1
124841220,1,1
121404400,7,1
60376578,9,6
33290164,1,2
14378402,1,1
236721167,1,1
17230082,2,4
1629393013,1,1
2302315980,1,1
323985386,2,3
17791152,3,1
2222164568,3,1
71706833,2,1
359963985,1,2
85124669,4,6
479112584,1,1
370663800,3,3
2578217017,3,8
495296096,1,1
1275498702,1,3
1535524958,1,1
162071541,1,1
533225956,1,1
60115647,4,3
76670137,3,2
569734767,1,4
2183041627,10,1
2395298647,1,1
195895813,2,1
1521331956,1,1
2272055560,1,1
2274627985,1,1
2266061844,1,1
35259800,1,4
304024140,6,1
1251689630,1,1
2293502838,2,1
319016035,4,2
2343704582,1,1
521423295,1,1
405511131,1,1
1228350698,1,1
2478707798,1,2
84973792,1,1
1573475455,1,1
279027218,1,1
33041582,1,2
1710915757,7,1
1489775341,2,2
1964916919,1,1
46677513,9,6
307804805,1,1
78687401,1,1
245002421,1,5
250693957,27,30
966903620,3,1
716546256,1,1
1473021475,1,1
282822399,1,1
1328100980,3,1
21284689,1,4
2366039158,1,1
2486917591,1,1
237367969,3,2
855148266,1,1
2399330390,20,7
533599612,1,2
20474878,1,5
469565899,1,1
921716028,2,1
89838223,1,1
578590537,1,1
2455538201,3,1
20746195,1,1
1282055538,1,1
66764335,2,2
314416021,1,2
1584343075,7,13
578403937,1,1
310314100,3,13
476979646,2,2
43912459,1,1
238278490,33,51
1637233782,3,7
55850157,2,2
1214330474,2,6
1377835969,1,1
385927398,1,1
186669131,1,1
1619916991,3,1
270062593,1,1
16543903,1,1
42551899,1,1
555297894,3,8
526960836,1,1
1352067158,2,1
2611598226,3,4
228500021,1,1
2166668608,3,1
1875896460,2,1
455708730,1,1
810903074,1,3
231774398,5,8
611076474,3,2
29409073,1,1
1270525314,1,1
241219947,1,4
232444717,1,4
950034799,1,1
1893298928,2,1
512116868,1,1
18479467,1,1
183332257,1,7
226399237,1,1
156422768,1,2
67049467,2,16
25313046,1,1
353150586,1,1
286559849,1,3
238183324,1,2
253009212,1,1
19272571,1,1
94711758,2,1
2380865192,1,2
471675857,1,1
460234728,1,2
72533174,1,1
887340668,1,1
411984565,1,2
59355079,3,2
399241981,6,4
26717944,1,2
372252048,6,6
568334442,1,1
15925111,1,2
526058833,1,1
497601725,1,2
584849232,2,1
554163048,2,4
80665498,2,2
21954564,1,1
1361188920,8,4
25647579,2,1
1620524594,3,1
101390884,1,1
535559067,2,3
588436544,1,1
14509143,2,2
374343611,2,1
1897239480,2,1
1550929580,1,1
1255853989,1,1
1149543426,5,1
878756299,2,3
2368475342,2,2
780963122,2,1
1924760798,1,1
447692988,1,1
319963230,3,8
34794971,1,2
100997595,2,1
392719204,3,4
2419170715,1,1
22101273,1,1
1623042385,1,2
158858541,4,2
139680249,3,4
76591376,1,1
218328652,1,2
568519130,1,1
1037090653,15,30
2432304270,2,1
2596687304,1,1
137436583,1,1
576337793,1,1
353351870,1,1
2155838035,2,2
1377360972,1,2
1721906256,1,2
538480460,1,1
339300802,2,3
301296441,1,2
519931049,1,3
1262631744,2,1
829224614,4,3
1316080825,11,4
1919725393,1,2
500490973,2,2
35408870,1,2
338176306,1,1
1468480464,1,1
1570876825,1,1
2200610996,1,4
455332161,1,1
20496789,1,3
38385810,1,1
941320202,4,6
1240101979,1,1
564115155,3,1
1446115556,1,1
1106330780,1,2
76002883,1,1
55255724,1,1
79802631,14,4
193446097,1,1
165355971,1,1
14442905,4,1
2506134530,1,1
17861045,2,1
21957705,1,1
338767175,1,2
50016087,1,1
416925049,1,2
60388438,1,1
127342885,1,7
159888958,1,2
29691828,1,1
365762627,1,1
222695753,4,4
309261706,2,2
2393098586,1,3
385567230,1,2
1780555172,1,2
1647862296,1,2
17183132,1,1
165785902,2,1
327240965,1,1
18362692,1,1
21069075,1,1
2241474458,1,1
1883707615,3,2
151294897,1,1
118559639,1,2
167484753,2,1
1942249044,1,1
104076769,1,1
19615940,1,1
1877611165,1,1
336835066,1,1
939627462,3,1
706025510,1,3
348650354,3,2
1210057872,1,1
109447876,1,1
371437964,1,1
1327266014,1,2
598626685,4,2
177200873,1,2
1494969308,1,1
2357190571,1,3
1323265268,1,1
1516689450,2,3
70467062,1,2
142447086,1,1
179688281,1,1
31033962,1,1
760281517,1,1
2169561009,1,1
329286061,3,5
143269623,1,1
157096271,1,1
156248354,3,1
606465781,2,1
20696113,1,2
